ID,DifficultyID,CategoryRecoveryTime,RecoveryTime,StartRecoveryTime,AuraSpellID,SpellID
179,,,30000,1000,,1725
181,,,,1000,,1752
182,,,15000,,,1766
183,,25000,,1000,,1776
184,,,2000,,,1784
189,,,,1000,,1822
190,,,,1500,,1825
191,,,1000,1000,,1833
192,,,,1500,,1834
193,,120000,,1500,,1850
194,,,1000,,,1856
195,,,,1000,,1943
196,,,,1500,,1949
197,,,500,1500,,1953
198,,,1000,,,1966
200,,,,1500,,2006
201,,,,1500,,2008
202,,60000,,,,2023
203,,60000,,,,2024
204,,,,1500,,2050
205,,,,1500,,2060
206,,,,1500,,2061
208,,,120000,1000,,2094
209,,,,1500,,2096
210,,,,1000,,2098
211,,,,1500,,2120
213,,25000,,,,2139
215,,60000,,,,2370
216,,1500,,,,2383
219,,1500,,,,2481
220,,,30000,1000,,2484
222,,1500,,,,2580
224,,60000,,,,2597
226,,60000,,,,2599
227,,60000,,,,2600
230,,6000,,1500,,2606
235,,10000,,,,2629
236,,10000,,,,2630
237,,,,1500,,2637
239,,,,1500,,2641
240,,,,1500,,2643
241,,,,1500,,2645
243,,8000,,,,2649
244,,,6000,,,2676
246,,,8000,1500,,2782
247,,,,1500,,2812
248,,,300000,,,2825
249,,,1500,,,2836
251,,,,1500,,2871
253,,,10000,1500,,2908
256,,,,1500,,2948
259,,120000,,,,2983
260,,40000,,,,3019
265,,3000,,,,3106
266,,10000,,,,3109
268,,30000,,,,3130
269,,10000,,,,3131
270,,30000,,,,3132
272,,15000,,,,3145
273,,30000,,,,3146
276,,30000,,,,3151
277,,600000,,,,3204
285,,45000,,,,3238
286,,30000,,,,3247
287,,30000,,,,3252
289,,,,1500,,3267
290,,,,1500,,3268
291,,10000,,,,3332
292,,180000,,,,3335
293,,10000,,,,3385
294,,,1500,,,3411
295,,60000,,,,3416
297,,70000,,,,3446
298,,20000,,,,3499
299,,,20000,,,3527
300,,60000,,,,3542
301,,25000,,,,3547
303,,,,1500,,3561
304,,,,1500,,3562
305,,,,1500,,3563
306,,,,1500,,3565
307,,,,1500,,3566
308,,,,1500,,3567
310,,180000,,,,3584
311,,180000,,,,3586
312,,10000,,,,3592
313,,,30000,1000,,3599
314,,,,1500,,3603
316,,45000,,,,3635
317,,30000,,,,3650
318,,30000,,,,3651
320,,600000,,,,3680
321,,,,1500,,3714
322,,,,1000,,3716
323,,10000,,,,3720
326,,7000,,,,3823
327,,30000,,,,3827
328,,60000,,,,4042
329,,,,1500,,4055
330,,600000,,,,4079
334,,300000,,,,4104
335,,300000,,,,4105
336,,45000,,,,4146
340,,120000,,,,4150
347,,5000,,,,4170
354,,45000,,,,4320
356,,,500,,,4336
357,,,300000,,,4338
358,,,5000,,,4342
360,,180000,,,,4520
361,,120000,,,,4526
362,,300000,,,,4538
363,,300000,,,,4539
364,,300000,,,,4629
368,,30000,,,,4948
369,,45000,,,,4955
370,,8000,,1500,,4987
375,,60000,,,,5010
377,,20000,,,,5108
378,,20000,,,,5110
379,,,5000,1500,,5116
382,,,,1500,,5143
383,,,10000,,,5164
385,,,,1000,,5171
386,,,,1500,,5176
390,,60000,,1500,,5211
391,,,6000,,,5215
392,,,30000,,,5217
393,,,,1000,,5221
394,,1500,,,,5225
396,,,90000,1500,,5246
397,,240000,,,,5252
398,,90000,,,,5256
399,,120000,,,,5277
400,,,6000,1500,,5308
401,,1000,,,,5320
402,,1000,,,,5321
403,,1000,,,,5322
404,,1000,,,,5323
405,,1000,,,,5324
406,,1000,,,,5325
407,,,30000,,,5384
408,,,,1000,,5394
409,,90000,,,,5405
415,,,,1500,,5487
417,,,,1500,,5502
424,,,,1500,,5697
425,,30000,,,,5703
427,,,,1500,,5740
428,,30000,,,,5759
429,,45000,,,,5781
430,,,,1500,,5782
431,,,60000,,,5858
432,,1000,,,,5862
434,,30000,,,,5918
435,,,,1000,,5938
436,,45000,,,,5990
439,,,,1500,,6119
440,,,,1000,,6123
445,,,,1500,,6196
446,,,,1500,,6197
447,,,,1500,,6201
450,,30000,,,,6266
453,,30000,,,,6278
455,,6000,,,,6305
456,,6000,,1500,,6343
458,,,45000,1500,,6353
460,,,6000,,,6360
462,,30000,,,,6409
464,,3000,21000,1500,,6434
465,,6000,,,,6435
466,,60000,,,,6487
467,,20000,,,,6490
468,,,,1500,,6507
470,,10000,,,,6513
471,,,5000,,,6524
472,,30000,,,,6530
473,,40000,,,,6535
476,,15000,,,,6552
477,,,,1500,,6572
478,,30000,,,,6576
479,,30000,,,,6580
484,,60000,,,,6614
486,,10000,,,,6664
487,,,,1500,,6673
488,,15000,,,,6685
489,,360000,,,,6711
490,,30000,,,,6725
492,,,,1000,,6770
494,,,45000,1500,,6789
495,,8000,,,,6795
496,,,,1500,,6807
497,,180000,,,,6921
498,,,120000,,,6940
501,,5000,,,,6957
502,,1000,,,,6960
503,,,,1500,,6965
504,,,10000,,,6991
506,,1000,,,,7069
508,,30000,,,,7090
509,,15000,,,,7092
510,,20000,,,,7093
512,,7000,,,,7106
513,,1000,,,,7108
517,,20000,,,,7139
518,,25000,,,,7140
519,,10000,,,,7145
522,,180000,,,,7164
523,,180000,,,,7165
524,,1000,,,,7178
528,,1000,,,,7233
534,,1000,,,,7239
537,,1000,,,,7242
540,,1000,,,,7245
549,,1000,,,,7254
550,,,1000,,,7266
551,,1000,,,,7273
552,,1000,,,,7290
556,,,,1500,,7328
557,,1000,,,,7331
558,,,1500,,,7355
560,,1000,,,,7363
562,,,,1500,,7384
564,,,250,,,7620
565,,,250,,,7731
566,,,250,,,7732
568,,30000,120000,,,7744
569,,5000,,,,7806
570,,5000,,,,7807
571,,5000,,,,7808
572,,,60000,,,7812
573,,,,1000,,7814
575,,,,1500,,7855
576,,,,1500,,7870
577,,,,1500,,7914
578,,,,1500,,7926
579,,,,1500,,7927
580,,,,1500,,7960
581,,1000,,,,7966
582,,10000,,,,7974
584,,,,1500,,8000
585,,,,1500,,8004
589,,,,1500,,8042
595,,,,1500,,8092
596,,,40000,1500,,8122
599,,,60000,1000,,8143
601,,1000,,,,8148
602,,30000,,,,8151
603,,10000,,,,8152
606,,,,1000,,8190
607,,,,1500,,8191
608,,,,1500,,8211
612,,,,1500,,8246
613,,120000,,,,8256
614,,,,1500,,8262
615,,,,1500,,8277
616,,25000,,,,8285
618,,1500,,,,8387
619,,1500,,,,8388
620,,,,1000,,8512
621,,,,1500,,8552
622,,,,1500,,8593
623,,15000,,,,8595
624,,,,1500,,8596
625,,,,1500,,8598
628,,,,1000,,8676
629,,,,1500,,8690
630,,30000,,,,8715
631,,,,1500,,8722
632,,,,1500,,8736
633,,,10000,,,8788
635,,,,1500,,8812
636,,30000,,,,8814
637,,,,1000,,8818
638,,,10000,,,8832
641,,,,1500,,8921
642,,,,1500,,8936
649,,,,1500,,9093
650,,,,1500,,9159
651,,,,1500,,9163
652,,,,1500,,9174
655,,,,1500,,9200
656,,10000,,1500,,9220
657,,60000,,,,9252
658,,60000,,,,9253
660,,1000,,,,9373
661,,,,1500,,9456
662,,,,1500,,9457
663,,,,1500,,9481
664,,,,1500,,9484
666,,,,1500,,9488
668,,,,1500,,9532
670,,,60000,,,9572
671,,,,1500,,9587
672,,,,1500,,9591
673,,,,1500,,9613
675,,,,1500,,9654
676,,15000,,,,9733
677,,5000,,,,9736
678,,5000,,,,9740
679,,5000,10000,,,9741
680,,,,1500,,9771
681,,,,1500,,9773
682,,,,1500,,9774
683,,,,1500,,9779
684,,,5000,,,9782
685,,,5000,,,9784
686,,,,1500,,9806
687,,30000,,,,9949
688,,30000,,,,9976
689,,30000,,,,9977
690,,,,1500,,10017
691,,,,1500,,10018
692,,60000,,,,10052
695,,60000,,,,10057
696,,60000,,,,10058
697,,,60000,1500,,10059
698,,,120000,,,10060
707,,,,1500,,10253
709,,,,1500,,10260
710,,,,1000,,10266
711,,,,1500,,10267
712,,,,1500,,10270
713,,,15000,1500,,10326
714,,,,1500,,10577
715,,,,1500,,10578
716,,1000,,,,10618
717,,210000,,,,10667
718,,210000,,,,10668
719,,210000,,,,10669
720,,,,1500,,10673
721,,,,1500,,10674
722,,,,1500,,10675
723,,,,1500,,10676
724,,,,1500,,10677
725,,,,1500,,10678
726,,,,1500,,10679
727,,,,1500,,10680
728,,,,1500,,10682
729,,,,1500,,10683
730,,,,1500,,10684
731,,,,1500,,10685
732,,,,1500,,10688
733,,210000,,,,10692
734,,210000,,,,10693
735,,,,1500,,10695
736,,,,1500,,10696
737,,,,1500,,10697
738,,,,1500,,10698
739,,,,1500,,10703
740,,,,1500,,10704
741,,,,1500,,10706
742,,,,1500,,10707
743,,,,1500,,10709
744,,,,1500,,10711
745,,,,1500,,10714
746,,,,1500,,10716
747,,,,1500,,10717
748,,,,1500,,10838
749,,,,1500,,10839
751,,,,1500,,11017
752,,,,1500,,11021
753,,6000,,1500,,11084
756,,,,1500,,11264
757,,3600000,,1500,,11365
758,,,,1500,,11366
760,,60000,60000,,,11387
761,,3000,,,,11389
763,,,,1500,,11391
764,,600000,,,,11392
765,,,,1500,,11403
768,,,60000,1500,,11416
769,,,60000,1500,,11417
770,,,60000,1500,,11418
771,,,60000,1500,,11419
772,,,60000,1500,,11420
773,,,,750,,11426
774,,,,1500,,11431
775,,,,1500,,11433
777,,,,1500,,11444
778,,4000,,1500,,11445
781,,1000,,,,11479
782,,1000,,,,11480
784,,,,1500,,11639
787,,,,1500,,11642
788,,4000,,1500,,11647
789,,,,1500,,11649
790,,,,1500,,11789
791,,6000,,1500,,11824
792,,,,1500,,11825
793,,4000,,1500,,11835
794,,,,1500,,11839
795,,1000,,,,11841
796,,,,1500,,11895
797,,60000,,,,11903
798,,,,1500,,11921
802,,,,1500,,11975
803,,,,1500,,11985
804,,,,1500,,11988
806,,,,1500,,12039
807,,,120000,,,12042
809,,,,1500,,12051
811,,,,1500,,12096
812,,,,1500,,12098
814,,,,1500,,12167
815,,,,1500,,12243
817,,,6000,1500,,12294
818,,,90000,1500,,12323
820,,30000,,,,12332
821,,,,1500,,12354
822,,,,1500,,12466
823,,,,1500,,12471
824,,,120000,,,12472
825,,,,1500,,12529
826,,3000,21000,1500,,12542
827,,,10000,,,12544
828,,3000,20000,1500,,12550
830,,1000,,,,12561
831,,,,1500,,12685
832,,,3600000,,,12736
833,,,,1500,,12739
837,,,,1500,,12845
838,,,,1500,,12890
840,,,,1500,,13008
841,,45000,,,,13013
843,,,,1500,,13140
848,,,,1500,,13262
849,,30000,,,,13325
850,,,,1500,,13375
851,,,,1500,,13398
852,,,,1500,,13424
853,,,,1500,,13438
854,,,,1500,,13439
856,,8000,,1500,,13441
857,,,,1500,,13480
859,,,,1500,,13490
860,,10000,,1500,,13491
861,,,,1500,,13519
862,,,,1500,,13527
863,,,,1500,,13530
865,,,,1500,,13548
867,,,5000,,,13587
868,,,,1500,,13589
869,,60000,,,,13619
872,,,,1500,,13744
873,,,,1500,,13745
875,,,180000,,,13750
876,,,,1500,,13752
877,,,10000,,,13787
879,,30000,,1500,,13809
883,,,30000,1000,,13877
884,,,,1500,,13878
885,,,,1500,,13900
886,,,3500,1500,,13901
887,,,2000000,1500,,13912
890,,,,1500,,14053
892,,,,1500,,14106
894,,6000,,,,14112
896,,,,1500,,14122
897,,,,1500,,14129
898,,,,1500,,14134
904,,,,1500,,14253
908,,,1000,1500,,14443
909,,3000,10000,1500,,14514
913,,,,1500,,14871
914,,,,1000,,14874
916,,5000,,1500,,14895
917,,,,1500,,14900
918,,,,1000,,14902
919,,,,1000,,14903
920,,,10000,1500,,14914
921,,,,1500,,15038
922,,,,1500,,15040
923,,5000,,1500,,15041
924,,5000,,1500,,15044
925,,,,1500,,15048
926,,,,1500,,15049
929,,,,1500,,15067
930,,3000,10000,1500,,15090
932,,,,1500,,15095
933,,6000,,1500,,15117
934,,,,1500,,15228
935,,,4000,1500,,15232
936,,,,1500,,15234
937,,6000,,1500,,15236
939,,,3000,1500,,15241
942,,30000,,,,15247
943,,,,1500,,15253
944,,,,1500,,15277
946,,,120000,,,15286
947,,6000,,1500,,15305
948,,6000,,1500,,15306
949,,,,1500,,15346
950,,,,1500,,15366
951,,,,1500,,15407
952,,,,1500,,15453
953,,,,1500,,15472
955,,,30000,,,15487
956,,6000,,1500,,15500
957,,,10000,,,15507
958,,,,1500,,15536
959,,,,1500,,15537
960,,30000,,,,15539
962,,,,1000,,15583
963,,,,1500,,15586
965,,,30000,,,15602
966,,6000,,1500,,15605
967,,,,1500,,15619
968,,,,1500,,15648
969,,,,1500,,15653
970,,3000,10000,1500,,15654
971,,30000,,,,15656
972,,6000,,1500,,15659
973,,,,1500,,15662
974,,,,1500,,15665
975,,,,1500,,15668
976,,,,1000,,15691
977,,,,1000,,15692
978,,10000,,,,15700
979,,60000,,,,15701
980,,,,1500,,15729
983,,,,1500,,15799
984,,,,1500,,15801
986,,,,1500,,15867
987,,,,1500,,15970
988,,,,1500,,15981
989,,,,1500,,15999
990,,6000,,1500,,16033
991,,6000,,1500,,16034
993,,10000,,1500,,16050
994,,,,1500,,16053
996,,,,1500,,16097
997,,,,1500,,16101
1001,,,,1500,,16231
1002,,,,1500,,16244
1003,,,,1500,,16250
1004,,10000,,,,16322
1005,,,,1500,,16327
1006,,,,1500,,16329
1007,,,,1500,,16367
1008,,,,1500,,16402
1009,,8000,,1500,,16407
1015,,,,1500,,16415
1016,,,,1500,,16450
1017,,8000,,1500,,16454
1018,,,,1500,,16457
1019,,,,1500,,16472
1020,,30000,,,,16498
1021,,,,1000,,16511
1022,,,,1500,,16537
1023,,,,1500,,16569
1024,,,,1500,,16570
1025,,,,1500,,16588
1026,,,,1500,,16603
1027,,,,1500,,16608
1028,,1000,,,,16617
1029,,,5000,,,16624
1030,,,,1500,,16627
1031,,,,1500,,16628
1032,,,,1500,,16633
1033,,60000,,,,16666
1035,,,,1500,,16783
1036,,,,1500,,16784
1037,,,5000,,,16790
1039,,,3000,1000,,16827
1051,,8000,,1500,,16908
1052,,,10000,1500,,16914
1053,,,,1500,,16921
1054,,15000,15000,,,16979
1055,,,,1500,,17008
1056,,,,1500,,17012
1058,,,,1500,,17140
1059,,,,1500,,17141
1060,,,,1500,,17142
1063,,,,1500,,17146
1064,,,,1500,,17147
1065,,,,1500,,17149
1067,,,,1500,,17154
1068,,,,1500,,17164
1069,,6000,,1500,,17171
1070,,,,1500,,17172
1071,,,,1500,,17173
1072,,,,1500,,17174
1073,,,,1500,,17195
1074,,5000,,1500,,17198
1075,,,,1500,,17201
1076,,,,1500,,17203
1077,,,10000,,,17205
1078,,,,1500,,17238
1079,,,,1500,,17243
1080,,,3000,1000,,17253
1082,,,,1500,,17281
1083,,,,1500,,17364
1087,,300000,,,,17468
1088,,300000,,,,17469
1093,,,,1500,,17510
1094,,60000,,,,17530
1095,,60000,,,,17531
1096,,60000,60000,,,17534
1099,,1000,,,,17543
1100,,1000,,,,17544
1101,,1000,,,,17545
1102,,1000,,,,17546
1103,,1000,,,,17548
1104,,1000,,,,17549
1105,,1000,,,,17559
1106,,1000,,,,17560
1107,,1000,,,,17561
1108,,1000,,,,17562
1109,,1000,,,,17563
1110,,1000,,,,17564
1111,,1000,,,,17565
1112,,1000,,,,17566
1113,,,,1500,,17613
1114,,3000,15000,1500,,17620
1115,,60000,,1500,,17624
1116,,1000,,,,17628
1117,,,,1500,,17670
1118,,3000,15000,1500,,17682
1119,,,,1500,,17707
1120,,,,1500,,17708
1121,,,,1500,,17709
1122,,10000,,,,17735
1123,,,,1500,,17745
1124,,,120000,1000,,17767
1125,,60000,,,,17770
1126,,,,1500,,17877
1127,,,,1500,,17962
1130,,,,1500,,18082
1131,,8000,,1500,,18083
1135,,8000,,1500,,18091
1136,,8000,,1500,,18092
1137,,,10000,,,18100
1138,,,,1500,,18104
1143,,,,1500,,18125
1144,,,,1500,,18138
1146,,,,1500,,18141
1147,,,,1500,,18146
1148,,,,1500,,18153
1149,,,,1500,,18199
1150,,8000,,1500,,18204
1151,,,,1500,,18205
1153,,,,1500,,18214
1154,,,,1500,,18217
1162,,,250,,,18248
1164,,30000,,,,18289
1165,,60000,,,,18307
1166,,60000,,,,18308
1167,,30000,,,,18309
1169,,,,1500,,18381
1170,,60000,,,,18385
1171,,,,1500,,18386
1172,,8000,,1500,,18398
1173,,,60000,,,18499
1174,,,,1500,,18503
1176,,,,1500,,18545
1177,,,,1500,,18557
1178,,,,1500,,18562
1179,,,,1500,,18608
1180,,,,1500,,18610
1181,,6000,,1500,,18649
1182,,,,1500,,18651
1183,,,,1500,,18656
1186,,,,1500,,18796
1187,,,5000,,,18812
1188,,6000,,,,18819
1189,,,,1500,,18831
1190,,10000,,,,18832
1191,,,,1500,,18833
1193,,,,1500,,18948
1194,,,,1500,,18949
1195,,60000,,,,18956
1196,,60000,,,,18957
1197,,,,1500,,18960
1201,,,5000,,,19128
1202,,5000,,,,19130
1203,,10000,,,,19199
1204,,90000,,,,19236
1206,,8000,,1500,,19260
1207,,,5000,,,19263
1210,,45000,,1500,,19386
1211,,,,1500,,19434
1216,,,15000,,,19505
1218,,40000,,,,19513
1220,,,,1500,,19548
1222,,,60000,1500,,19577
1224,,,,1500,,19674
1225,,,,1500,,19687
1226,,,,1500,,19688
1227,,,,1500,,19689
1228,,,,1500,,19692
1229,,,,1500,,19693
1230,,,,1500,,19694
1231,,,,1500,,19696
1232,,,,1500,,19697
1233,,,,1500,,19699
1234,,,,1500,,19700
1235,,,,2000,,19701
1238,,,,1500,,19750
1239,,,,1500,,19772
1240,,,,1500,,19776
1241,,,,1500,,19778
1242,,,10000,1000,,19801
1243,,,3600000,,,19802
1244,,,,1500,,19816
1260,,,15000,1500,,20066
1269,,,,1500,,20243
1271,,,,1500,,20271
1272,,,,1500,,20295
1273,,,,1500,,20298
1275,,,,1500,,20473
1276,,600000,,1500,,20484
1277,,15000,,,,20537
1278,,,10000,,,20545
1279,,,90000,,,20549
1280,,3000,,,,20566
1281,,5000,,,,20568
1282,,,120000,,,20572
1283,,,120000,1500,,20577
1284,,,60000,,,20589
1285,,30000,120000,,,20594
1287,,6000,,,,20605
1288,,1800000,,,,20608
1289,,30000,,,,20619
1290,,30000,,,,20656
1291,,,,1500,,20657
1292,,,,1500,,20664
1293,,,,1500,,20665
1294,,,,1500,,20714
1296,,8000,,1500,,20736
1297,,,,1500,,20743
1298,,,,1500,,20791
1299,,,,1500,,20793
1300,,,,1500,,20797
1301,,,10000,,,20798
1302,,,,1500,,20802
1303,,,,1500,,20805
1304,,,,1500,,20807
1305,,,,1500,,20808
1306,,,,1500,,20811
1307,,,,1500,,20815
1308,,,,1500,,20816
1309,,,,1500,,20821
1310,,,,1500,,20823
1311,,,,1500,,20824
1312,,,,1500,,20825
1313,,,,1500,,20829
1314,,6000,,1500,,20831
1315,,8000,,1500,,20869
1316,,8000,,1500,,20883
1317,,,6000,1500,,20925
1318,,,,1500,,21059
1320,,,,1500,,21072
1321,,,,1500,,21073
1322,,30000,,,,21075
1323,,20000,,,,21076
1324,,,,1500,,21127
1327,,,,1500,,21151
1328,,3000,,,,21154
1330,,,,1500,,21162
1331,,,,1500,,21163
1332,,1800000,,,,21169
1333,,,,1500,,21171
1334,,,,1500,,21179
1335,,,,1500,,21187
1337,,,,1500,,21335
1338,,,,1500,,21337
1339,,,,1500,,21390
1340,,60000,,,,21393
1341,,60000,,,,21394
1342,,60000,,,,21395
1343,,60000,,,,21396
1344,,,,1500,,21402
1345,,,,1500,,21425
1346,,,,1500,,21549
1347,,,,1500,,21562
1349,,,,1500,,21668
1350,,120000,,,,21787
1351,,300000,,,,21878
1353,,,60000,,,21935
1354,,,,1500,,21954
1355,,,10000,,,22007
1357,,,,1500,,22088
1360,,,,1500,,22167
1361,,,,1500,,22168
1363,,,,1500,,22271
1364,,60000,,,,22335
1365,,,,1500,,22336
1366,,,,1500,,22373
1367,,,,1500,,22414
1371,,,,1500,,22460
1372,,,,1500,,22566
1373,,,,1000,,22568
1374,,,30000,1000,,22570
1375,,60000,,,,22649
1376,,,,1500,,22677
1377,,,,1500,,22678
1380,,60000,,,,22729
1383,,4000,,1500,,22751
1384,,1000,,,,22807
1385,,,60000,,,22812
1386,,,,1500,,22817
1387,,,,1500,,22818
1388,,,,1500,,22820
1389,,,,1500,,22822
1392,,,,1500,,22865
1393,,,,1500,,22878
1394,,,,1500,,22883
1395,,,,1500,,22884
1396,,60000,,1500,,22908
1398,,3000,10000,1500,,22914
1400,,1800000,,,,23041
1401,,1800000,,,,23042
1402,,6000,,1500,,23106
1405,,,,1500,,23262
1406,,8000,,1500,,23267
1407,,,,1500,,23268
1409,,,,1500,,23381
1410,,,,1500,,23428
1411,,,,1500,,23429
1412,,,,1500,,23430
1413,,,,1500,,23431
1414,,,,1500,,23432
1415,,,,1500,,23444
1416,,,,1500,,23445
1417,,,,1500,,23456
1418,,,,1500,,23457
1419,,1000,,,,23506
1420,,,,1500,,23511
1421,,,,1500,,23530
1422,,,,1500,,23531
1426,,,,1500,,23567
1427,,,,1500,,23568
1428,,,,1500,,23569
1429,,,,1500,,23592
1430,,,,1500,,23605
1432,,4000,,1500,,23693
1433,,,,1500,,23696
1434,,,,1500,,23697
1436,,,,1500,,23811
1439,,604800000,,,,23852
1440,,,,1500,,23859
1441,,,,1500,,23860
1442,,4500,,1500,,23881
1443,,,,1500,,23895
1444,,,1000,,,23920
1446,,,9000,1500,,23922
1447,,,,1500,,23931
1448,,,,1500,,23947
1449,,,,1500,,23948
1450,,,,1500,,23952
1451,,,,1500,,23954
1454,,4000,,1500,,23964
1456,,1000,,,,23991
1458,,,,1500,,24006
1459,,,,1500,,24053
1460,,,,1000,,24187
1461,,,,1500,,24208
1462,,,,1500,,24209
1463,,,,1500,,24212
1465,,,,1500,,24275
1466,,,,1500,,24300
1467,,,,1000,,24331
1468,,,,1000,,24332
1469,,20000,,,,24333
1470,,,,1500,,24334
1471,,,,1000,,24337
1472,,,,1500,,24347
1473,,120000,,1500,,24353
1475,,60000,,,,24361
1478,,,,1500,,24374
1484,,,,1500,,24412
1485,,,,1500,,24413
1486,,,,1500,,24414
1487,,,6000,,,24423
1488,,,,1500,,24427
1489,,,,1500,,24435
1490,,10000,,,,24450
1493,,,,1500,,24618
1494,,,10000,1500,,24640
1495,,,,1500,,24668
1496,,,,1500,,24696
1498,,,,1500,,24752
1502,,,5000,1500,,24826
1503,,,,1500,,24828
1505,,,,1500,,24854
1506,,,,1500,,24858
1508,,,2000,,,24933
1509,,,,1500,,24947
1510,,,,1500,,24988
1511,,,,1500,,25000
1512,,,,1500,,25001
1513,,,5000,,,25003
1514,,,,1500,,25018
1515,,,10000,,,25020
1516,,,,1500,,25021
1517,,,,1500,,25023
1518,,,10000,,,25024
1519,,5000,10000,,,25026
1520,,,2000,,,25027
1521,,,6000,,,25030
1522,,,6000,,,25031
1523,,,120000,1000,,25046
1524,,,,1500,,25052
1525,,,,1500,,25058
1526,,300000,,,,25085
1527,,,,1500,,25101
1528,,,,1500,,25112
1529,,,,1500,,25162
1531,,,,1500,,25260
1532,,,1800000,,,25285
1534,,10000,,1500,,25603
1535,,,,1500,,25640
1536,,,,1500,,25641
1538,,,5000,,,25669
1543,,60000,,,,25695
1544,,60000,,,,25696
1546,,30000,,,,25698
1547,,600000,,,,25699
1548,,1000,,,,25746
1549,,1000,,,,25747
1550,,1000,,,,25750
1551,,,,1500,,25777
1552,,,1500,,,25780
1553,,,,1500,,25801
1554,,,,1500,,25815
1555,,,,1500,,25816
1557,,,,1500,,25849
1558,,60000,,,,25851
1559,,3000,,,,25863
1561,,,,1500,,26006
1562,,,,1500,,26010
1564,,,,1500,,26042
1565,,600000,,,,26059
1566,,,60000,,,26064
1567,,60000,,,,26066
1568,,,,1500,,26070
1569,,,,1500,,26071
1571,,,,1500,,26098
1572,,5000,,,,26103
1574,,60000,,,,26260
1575,,60000,,,,26261
1578,,5000,,1500,,26281
1579,,,180000,,,26297
1580,,,,1500,,26373
1581,,60000,,,,26401
1582,,60000,,,,26402
1583,,,,1500,,26406
1584,,,,1500,,26408
1585,,,,1500,,26409
1586,,,,1500,,26410
1587,,,,1500,,26412
1588,,,,1500,,26414
1589,,,,1500,,26448
1590,,,,1500,,26450
1591,,,,1500,,26451
1592,,,,1500,,26452
1594,,,,1500,,26454
1595,,,,1500,,26455
1596,,,,1500,,26456
1597,,60000,,,,26472
1598,,60000,,,,26473
1599,,60000,,,,26474
1600,,60000,,,,26475
1601,,,,1500,,26565
1602,,9000,,1500,,26573
1603,,3000,,,,26655
1604,,,,1500,,26661
1605,,,,1000,,26679
1607,,3000,,,,26898
1608,,3000,,,,26901
1609,,,,1500,,27030
1610,,,,1500,,27031
1614,,60000,,,,27103
1616,,,,1500,,27241
1617,,3000,,,,27242
1618,,,,1500,,27243
1619,,3000,,,,27244
1620,,3000,,,,27245
1621,,3000,,,,27246
1622,,3000,,,,27247
1623,,3000,,,,27248
1624,,,,1500,,27382
1625,,,,1500,,27420
1626,,3000,,,,27503
1627,,3000,,,,27504
1628,,3000,,,,27505
1629,,3000,,,,27506
1630,,3000,,,,27507
1631,,3000,,,,27509
1632,,3000,,,,27510
1633,,3000,,,,27511
1634,,3000,,,,27512
1635,,3000,,,,27513
